,formula,valid_Eg,pred_Eg,diff
0,BaCeO3,3.941353,2.622541500568387,1.3188114994316127
1,TaAgO3,3.135209646,2.1501317613124846,0.9850778846875152
2,TiPbO3,2.584444,1.6792954142093675,0.9051485857906325
3,DyInO3,2.996601407,3.8849595476388936,0.8883581406388936
4,ZrPbO3,3.477219,2.598151743888854,0.8790672561111457
5,NbAgO3,2.606289,1.7357434666156784,0.8705455333843215
6,InBiO3,1.050888283,1.8867694669961934,0.8358811839961935
7,HfPbO3,3.53846,2.738099313139916,0.8003606868600843
8,InSbO3,0.751440056,1.5371698441505433,0.7857297881505433
9,PmInO3,3.056738346,3.730179659366608,0.6734413133666082
10,NdInO3,2.999078214,3.609955665230751,0.6108774512307513
11,GaBiO3,2.249295509,2.8511483364105197,0.6018528274105197
12,RbNbO3,2.69786405,2.0975551726818087,0.6003088773181915
13,CeBeO3,2.439456362,1.867079329013825,0.572377032986175
14,GdAlO3,3.423982132,3.982159397602079,0.5581772656020791
15,EuHfO3,1.513985389,0.9608609344959266,0.5531244545040733
16,LaCrO3,1.9039,1.3569122829437257,0.5469877170562742
17,CdSnO3,1.230115061,1.7681323199272159,0.5380172589272159
18,KTaO3,3.32806,2.806266659498216,0.5217933405017838
19,YCrO3,1.7679,1.289950244545935,0.47794975545406504
20,PmErO3,3.361074171,3.817776596188546,0.4567024251885461
21,YbGeO3,2.036664076,2.4604914246797556,0.42382734867975547
22,EuZrO3,1.34893776,0.9423015356063845,0.4066362243936156
23,GdCrO3,0.825,1.2313919656276715,0.40639196562767155
24,CdGeO3,1.748022009,2.1398583450317377,0.3918363360317376
25,SmFeO3,0.7235,1.1149269208908077,0.39142692089080766
26,NaNbO3,2.833721,2.457657349586485,0.3760636504135153
27,YFeO3,0.6373,0.96681182217598,0.3295118221759801
28,NdCrO3,1.904,1.5818410958051692,0.32215890419483073
29,TmCrO3,1.9289,2.134015206336976,0.2051152063369761
30,NbTlO3,1.074395814,1.2610418647527704,0.1866460507527703
31,SmCoO3,0.8039,0.6183140817880625,0.18558591821193748
32,PrCrO3,1.847,1.6755740911960622,0.17142590880393782
33,MgTiO3,3.19485171,3.3532139172554007,0.15836220725540073
34,TaTlO3,1.75703493,1.6023537869453417,0.1546811430546584
35,BaSnO3,1.883683,2.0325708153247843,0.14888781532478434
36,CaTiO3,3.207813876,3.0777525067329408,0.13006136926705913
37,CsTaO3,3.110664234,2.996391994714735,0.11427223928526509
38,TiSnO3,1.899045,1.79945009946823,0.09959490053177
39,CsNbO3,2.453558445,2.3586363404989252,0.09492210450107486
40,RbTaO3,3.238718509,3.1576100168228165,0.08110849217718341
41,SnPbO3,2.035434449,1.9588862020969402,0.07654824690305961
42,HfBeO3,2.544336147,2.473635962486266,0.07070018451373405
43,SrSnO3,2.577727,2.5101992952823666,0.06752770471763325
44,LaFeO3,0.8484,0.9137564960718164,0.06535649607181637
45,BaTiO3,2.868957,2.8070532219409974,0.0619037780590026
46,SrTiO3,3.094581,3.0357590774297734,0.05882192257022645
47,YCoO3,0.833,0.7916971827745439,0.041302817225456034
48,NdCoO3,0.7914,0.7729635226726527,0.018436477327347323
49,ScCoO3,0.786,0.7677008773088457,0.0182991226911543
50,SmCrO3,1.7362,1.722415258169174,0.013784741830825897
51,KNbO3,2.591651382,2.590865507364273,0.0007858746357269908
