,formula,valid_Eg,pred_Eg,diff
0,BaCeO3,3.941353,2.549974309444423,1.3913786905555767
1,DyInO3,2.996601407,4.1652902235984826,1.1686888165984826
2,TaAgO3,3.135209646,2.2243369641304027,0.9108726818695971
3,NbAgO3,2.606289,1.7349578204154983,0.8713311795845016
4,PmInO3,3.056738346,3.9261318206787177,0.8693934746787177
5,TiPbO3,2.584444,1.8118653609752664,0.7725786390247336
6,InSbO3,0.751440056,1.4701589367389678,0.7187188807389678
7,CdSnO3,1.230115061,1.9134113285541543,0.6832962675541543
8,GdAlO3,3.423982132,4.100441186428064,0.6764590544280642
9,LaCrO3,1.9039,1.2328974995613107,0.6710025004386893
10,NdInO3,2.999078214,3.6695873255729676,0.6705091115729678
11,CdGeO3,1.748022009,2.416932484388349,0.668910475388349
12,CeBeO3,2.439456362,1.7832509882450112,0.6562053737549889
13,GaBiO3,2.249295509,2.8805606100559187,0.6312651010559187
14,HfPbO3,3.53846,2.9275733313560512,0.6108866686439489
15,SmFeO3,0.7235,1.330685953140259,0.607185953140259
16,InBiO3,1.050888283,1.6552482373714457,0.6043599543714457
17,KTaO3,3.32806,2.7522015414237995,0.5758584585762003
18,NaNbO3,2.833721,2.319058121442792,0.5146628785572083
19,PmErO3,3.361074171,3.8178146448135366,0.4567404738135368
20,GdCrO3,0.825,1.2781160506010065,0.45311605060100657
21,ZrPbO3,3.477219,3.0663207004070276,0.4108982995929722
22,YFeO3,0.6373,1.0388426893949507,0.40154268939495075
23,CsNbO3,2.453558445,2.8209312536716458,0.3673728086716457
24,EuHfO3,1.513985389,1.1776713922023787,0.3363139967976212
25,RbNbO3,2.69786405,2.3710135587453833,0.32685049125461685
26,EuZrO3,1.34893776,1.054386467933656,0.294551292066344
27,TiSnO3,1.899045,2.1866742613315573,0.2876292613315572
28,BaSnO3,1.883683,2.155409383535385,0.2717263835353849
29,YbGeO3,2.036664076,2.2873241481780973,0.25066007217809716
30,HfBeO3,2.544336147,2.7822186655998205,0.23788251859982035
31,MgTiO3,3.19485171,3.4281617395877824,0.23331002958778235
32,YCrO3,1.7679,1.5401532230377188,0.22774677696228118
33,NdCrO3,1.904,1.7057135463953008,0.1982864536046991
34,CaTiO3,3.207813876,3.0151679239273097,0.1926459520726902
35,YCoO3,0.833,0.6425485191345217,0.19045148086547825
36,TmCrO3,1.9289,2.092012225031856,0.16311222503185574
37,SnPbO3,2.035434449,1.8778880885839475,0.1575463604160523
38,TaTlO3,1.75703493,1.6045596319437019,0.15247529805629823
39,NdCoO3,0.7914,0.6448322042226786,0.14656779577732137
40,CsTaO3,3.110664234,2.9674653038978556,0.14319893010214457
41,NbTlO3,1.074395814,1.2135617970228203,0.13916598302282024
42,SmCrO3,1.7362,1.6364305791854863,0.09976942081451368
43,ScCoO3,0.786,0.7140152149200445,0.07198478507995554
44,PrCrO3,1.847,1.7866202292442308,0.06037977075576917
45,SmCoO3,0.8039,0.7527225512266148,0.05117744877338515
46,RbTaO3,3.238718509,3.2889507493972783,0.05023224039727836
47,KNbO3,2.591651382,2.6269002132415773,0.035248831241577516
48,LaFeO3,0.8484,0.8794339597225195,0.031033959722519433
49,SrSnO3,2.577727,2.598737597465515,0.021010597465515257
50,SrTiO3,3.094581,3.0756794710159325,0.018901528984067273
51,BaTiO3,2.868957,2.8513159798383754,0.01764102016162461
